Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C424,100n,C_0603_1608Metric,73.419571,23.989932,222,top
C425,100n,C_0603_1608Metric,70.572483,21.684406,216,top
C426,100n,C_0603_1608Metric,67.499999,19.689111,210,top
C427,100n,C_0603_1608Metric,64.235782,18.025909,204,top
C428,100n,C_0603_1608Metric,60.815594,16.713022,198,top
C429,100n,C_0603_1608Metric,57.276909,15.764834,192,top
C430,100n,C_0603_1608Metric,53.658496,15.191734,186,top
C431,100n,C_0603_1608Metric,50,15,180,top
C432,100n,C_0603_1608Metric,46.341504,15.191734,174,top
C433,100n,C_0603_1608Metric,42.723091,15.764834,168,top
C434,100n,C_0603_1608Metric,39.184406,16.713022,162,top
C435,100n,C_0603_1608Metric,35.764218,18.025909,156,top
C436,100n,C_0603_1608Metric,32.5,19.689111,150,top
C437,100n,C_0603_1608Metric,29.427517,21.684406,144,top
C438,100n,C_0603_1608Metric,26.580429,23.989932,138,top
C439,100n,C_0603_1608Metric,23.989932,26.580429,132,top
C440,100n,C_0603_1608Metric,21.684406,29.427517,126,top
C441,100n,C_0603_1608Metric,19.689111,32.5,120,top
C442,100n,C_0603_1608Metric,18.025909,35.764218,114,top
C443,100n,C_0603_1608Metric,16.713022,39.184406,108,top
C444,100n,C_0603_1608Metric,15.764834,42.723091,102,top
C445,100n,C_0603_1608Metric,15.191734,46.341504,96,top
C446,100n,C_0603_1608Metric,15,50,90,top
C447,100n,C_0603_1608Metric,15.191734,53.658496,84,top
C448,100n,C_0603_1608Metric,15.764834,57.276909,78,top
C449,100n,C_0603_1608Metric,16.713022,60.815594,72,top
C450,100n,C_0603_1608Metric,18.025909,64.235782,66,top
C451,100n,C_0603_1608Metric,19.689111,67.5,60,top
C452,100n,C_0603_1608Metric,21.684406,70.572483,54,top
C453,100n,C_0603_1608Metric,23.989932,73.419571,48,top
C454,100n,C_0603_1608Metric,26.580429,76.010068,42,top
C455,100n,C_0603_1608Metric,29.427517,78.315594,36,top
C456,100n,C_0603_1608Metric,32.5,80.310889,30,top
C457,100n,C_0603_1608Metric,35.764218,81.974091,24,top
C458,100n,C_0603_1608Metric,39.184406,83.286978,18,top
C459,100n,C_0603_1608Metric,42.723091,84.235166,12,top
C460,100n,C_0603_1608Metric,46.341504,84.808266,6,top
C501,100n,C_0603_1608Metric,20,58,0,top
C502,100n,C_0603_1608Metric,20,54,0,top
C503,100n,C_0603_1608Metric,20,50,0,top
C504,100n,C_0603_1608Metric,20,46,0,top
C505,100n,C_0603_1608Metric,20,42,0,top
C506,100n,C_0603_1608Metric,20,38,0,top
C507,100n,C_0603_1608Metric,24,58,0,top
C508,100n,C_0603_1608Metric,24,54,0,top
C509,100n,C_0603_1608Metric,24,50,0,top
C510,100n,C_0603_1608Metric,24,46,0,top
C511,100n,C_0603_1608Metric,24,42,0,top
C512,100n,C_0603_1608Metric,24,38,0,top
C601,100n,C_0603_1608Metric,28,58,0,top
C602,100n,C_0603_1608Metric,28,54,0,top
C603,100n,C_0603_1608Metric,28,50,0,top
C604,100n,C_0603_1608Metric,28,46,0,top
C605,100n,C_0603_1608Metric,28,42,0,top
C606,100n,C_0603_1608Metric,28,38,0,top
C607,100n,C_0603_1608Metric,32,58,0,top
C608,100n,C_0603_1608Metric,32,54,0,top
C609,100n,C_0603_1608Metric,32,50,0,top
C610,100n,C_0603_1608Metric,32,46,0,top
C611,100n,C_0603_1608Metric,32,42,0,top
C612,100n,C_0603_1608Metric,32,38,0,top
C701,100n,C_0603_1608Metric,36,58,0,top
C702,100n,C_0603_1608Metric,36,54,0,top
C703,100n,C_0603_1608Metric,36,50,0,top
C704,100n,C_0603_1608Metric,36,46,0,top
C705,100n,C_0603_1608Metric,36,42,0,top
C706,100n,C_0603_1608Metric,36,38,0,top
C707,100n,C_0603_1608Metric,40,58,0,top
C708,100n,C_0603_1608Metric,40,54,0,top
C709,100n,C_0603_1608Metric,40,50,0,top
C710,100n,C_0603_1608Metric,40,46,0,top
C711,100n,C_0603_1608Metric,40,42,0,top
C712,100n,C_0603_1608Metric,40,38,0,top
C801,100n,C_0603_1608Metric,44,58,0,top
