Ref,Val,Package,PosX,PosY,Rot,Side
"C1205","100n","C_0603_1608Metric",76.000000,42.000000,0.000000,top
"C1206","100n","C_0603_1608Metric",76.000000,38.000000,0.000000,top
"C1207","100n","C_0603_1608Metric",80.000000,58.000000,0.000000,top
"C1208","100n","C_0603_1608Metric",80.000000,54.000000,0.000000,top
"C1209","100n","C_0603_1608Metric",80.000000,50.000000,0.000000,top
"C1210","100n","C_0603_1608Metric",80.000000,46.000000,0.000000,top
"C1211","100n","C_0603_1608Metric",80.000000,42.000000,0.000000,top
"C1212","100n","C_0603_1608Metric",80.000000,38.000000,0.000000,top
"D101","B5819W","D_SOD-123",52.500000,70.750000,90.000000,top
"D201","WS2812C-2020","BF@WS2812C-2020",50.000000,95.000000,180.000000,top
"D202","WS2812C-2020","BF@WS2812C-2020",54.703780,94.753485,174.000000,top
"D203","WS2812C-2020","BF@WS2812C-2020",59.356026,94.016642,168.000000,top
"D204","WS2812C-2020","BF@WS2812C-2020",63.905764,92.797543,162.000000,top
"D205","WS2812C-2020","BF@WS2812C-2020",68.303148,91.109545,156.000000,top
"D206","WS2812C-2020","BF@WS2812C-2020",72.499999,88.971143,150.000000,top
"D207","WS2812C-2020","BF@WS2812C-2020",76.450336,86.405764,144.000000,top
"D208","WS2812C-2020","BF@WS2812C-2020",80.110877,83.441517,138.000000,top
"D209","WS2812C-2020","BF@WS2812C-2020",83.441517,80.110877,132.000000,top
"D210","WS2812C-2020","BF@WS2812C-2020",86.405764,76.450336,126.000000,top
"D211","WS2812C-2020","BF@WS2812C-2020",88.971143,72.500000,120.000000,top
"D212","WS2812C-2020","BF@WS2812C-2020",91.109545,68.303148,114.000000,top
"D213","WS2812C-2020","BF@WS2812C-2020",92.797543,63.905764,108.000000,top
"D214","WS2812C-2020","BF@WS2812C-2020",94.016642,59.356026,102.000000,top
"D215","WS2812C-2020","BF@WS2812C-2020",94.753485,54.703780,96.000000,top
"D216","WS2812C-2020","BF@WS2812C-2020",95.000000,50.000000,90.000000,top
"D217","WS2812C-2020","BF@WS2812C-2020",94.753485,45.296220,84.000000,top
"D218","WS2812C-2020","BF@WS2812C-2020",94.016642,40.643974,78.000000,top
"D219","WS2812C-2020","BF@WS2812C-2020",92.797543,36.094236,72.000000,top
"D220","WS2812C-2020","BF@WS2812C-2020",91.109545,31.696852,66.000000,top
"D221","WS2812C-2020","BF@WS2812C-2020",88.971143,27.500001,60.000000,top
"D222","WS2812C-2020","BF@WS2812C-2020",86.405764,23.549664,54.000000,top
"D223","WS2812C-2020","BF@WS2812C-2020",83.441517,19.889123,48.000000,top
"D224","WS2812C-2020","BF@WS2812C-2020",80.110877,16.558483,42.000000,top
